"PageLikes","Type","Category","Month","Weekend","Paid","Postlikes"
139441,"Photo",2,12,"0",0,17
139441,"Status",2,12,"0",0,29
139441,"Photo",3,12,"0",0,14
139441,"Photo",2,12,"0",1,147
139441,"Photo",2,12,"0",0,49
139441,"Status",2,12,"1",0,33
139441,"Photo",3,12,"1",1,27
139441,"Photo",3,12,"1",1,14
139441,"Status",2,12,"1",0,31
139441,"Photo",3,12,"0",0,26
139441,"Status",2,12,"0",0,19
139441,"Photo",2,12,"0",0,18
139441,"Photo",2,12,"0",0,14
139441,"Photo",2,12,"0",0,10
138414,"Photo",2,12,"0",1,20
138414,"Status",2,12,"0",0,18
138414,"Photo",3,12,"0",0,12
138414,"Photo",1,12,"0",1,20
138414,"Status",3,12,"0",0,17
138414,"Photo",3,12,"1",0,8
138414,"Photo",2,12,"1",0,12
138414,"Photo",1,12,"1",0,0
138414,"Link",1,12,"1",0,2
138414,"Photo",3,12,"1",0,24
138414,"Status",2,12,"0",0,19
138458,"Status",2,12,"0",0,18
138458,"Status",2,12,"0",0,72
138458,"Photo",3,12,"0",0,17
138895,"Photo",2,12,"0",0,63
138895,"Video",1,12,"0",1,13
138895,"Photo",2,12,"0",0,22
138895,"Photo",2,12,"0",0,11
138895,"Photo",3,12,"0",0,47
138895,"Photo",3,12,"0",0,23
138895,"Photo",1,12,"0",0,17
138895,"Photo",2,12,"1",0,21
138895,"Photo",3,12,"1",0,17
138895,"Photo",1,12,"1",1,8
138895,"Status",2,12,"1",0,31
138895,"Photo",1,12,"1",0,14
138895,"Status",2,12,"0",0,39
138895,"Link",1,12,"0",1,18
138353,"Photo",1,12,"0",0,3
138353,"Link",1,12,"0",1,10
138353,"Photo",1,12,"0",0,11
138353,"Link",1,12,"0",1,10
138353,"Status",1,12,"0",0,36
138353,"Link",1,12,"0",0,8
138353,"Photo",1,12,"0",0,15
138353,"Link",1,12,"0",0,1
138353,"Photo",2,11,"1",0,9
138329,"Photo",1,11,"1",1,28
138329,"Photo",1,11,"1",0,31
138329,"Photo",1,11,"1",0,19
138329,"Photo",1,11,"0",0,13
138329,"Video",1,11,"0",1,14
138329,"Photo",1,11,"0",0,54
138329,"Photo",1,11,"0",0,13
138329,"Photo",1,11,"0",0,11
138329,"Photo",1,11,"0",1,17
138185,"Photo",1,11,"0",1,14
138185,"Photo",1,11,"0",1,10
138185,"Photo",1,11,"0",1,13
138185,"Photo",1,11,"0",1,22
